,Judul,Lokasi,Kamar,Toilet,Luas,Harga
0,The Awani Residence 3,"55 Jalan Cangkorah, Gunung Batu, Bandung, Jawa Barat",2 ,1 ,40 m²,"577,7 jt - Rp 1,001564 M"
1,G-Land Padalarang Valley,"Komp. Kopo Plaza, Jl. Peta, Suka Asih, Bojongloa Kaler, Bandung, Jawa Barat",2 ,1 ,30 m²,350 jt - Rp 500 jt
2,Valle Verde,"33 Jl. Pasirhalang, Andir, Bandung, Jawa Barat",2 ,2 ,98 m²,"1,8461075 M"
3,Rumah Lux Furnished Pasir Luyu Sayap BKR,"Pasir Luyu, Sayap BKR, Regol, Bandung, Jawa Barat",4 ,3 ,550 m²,"7,5 M"
4,Rumah Baru Minimalis 2 Lantai di Punawangi Kota Baru Parahyangan,"Tarubhawana, Kota Baru Parahyangan, Bandung, Jawa Barat",3 ,2 ,95 m²,"2,0392476 M"
5,Dijual Rumah Baru dekat Tol Gedebage Bandung Timur,"Derwati, Bandung Timur, Bandung, Jawa Barat",2 ,1 ,41 m²,"645,465 jt"
6,Rumah luas Setra Duta dgn fasilitas kolam renang,"Jl. Setra Duta, Setra Duta, Bandung, Jawa Barat",7 ,6 ,581 m²,15 M
7,Rumah Singgasana Pradana Selantai Terawat Posisi Bagus,"Singgasana, Singgasana Pradana, Bandung, Jawa Barat",4 ,3 ,300 m²,"5,2 M"
8,Jual Rumah Baru sayap Setraduta Bandung,"Setra Duta, Bandung, Jawa Barat",3 ,2 ,99 m²,"1,527 M"
9,Almaas 3,"Jl Ketapang andir, Bandung Selatan, Bandung, Jawa Barat",2 ,1 ,60 m²,453
10,Cherry Field,"Jl. Ciganitri, Buah Batu, Bandung, Buahbatu, Bandung, Jawa Barat",4 ,3 ,140 m²,"1,75 M"
11,Perumahan Taman Holis Indah,"Jl. Gerhana, Margasuka, Bandung, Taman Hollis Indah, Bandung, Jawa Barat",2 ,2 ,90 m²,900 jt
12,Perumahan Taman Holis Indah,"Jl. Gerhana, Margasuka, Bandung, Taman Hollis Indah, Bandung, Jawa Barat",3 ,2 ,84 m²,"1,35 M"
13,Mekar Wangi,". Jl Mekar Kencana, Mekar Wangi, Bojongloa Kidul, Mekar Wangi, Bandung, Jawa Barat",5 ,4 ,275 m²,"3,95 M"
14,RUMAH BARU 2 LANTAI DI CLUSTER SURYALAYA BUAHBATU,"Suryalaya, Buahbatu, Bandung, Jawa Barat",3 ,3 ,136 m²,"1,975 M"
15,"Rumah SIC, Baru 2 LANTAI Mewah Murah, Syariah, Cimuncang Padasuka Cimenyan Bandung Timur Jual Dijual","Cibeunying Kidul, Bandung, Jawa Barat",4 ,3 ,95 m²,"1,518 M"
16,"Rumah Swrna, Baru [2 LANTAI] Harga Murah Mewah Syariah di Ujungberung Kota Bandung Timur Jual Dijual","Ujungberung Kota Bandung Timur, Ujung Berung, Bandung, Jawa Barat",3 ,2 ,60 m²,621 jt
17,Rumah Cipadung Baru Harga Murah Mewah di Cilengkrang Gandol Palasari Cibiru Kota Bandung Jual Dijual,"Cipadung Cilengkrang Cibiru Kota Bandung, Cibiru, Bandung, Jawa Barat",2 ,1 ,36 m²,432 jt
18,"Rumah Laswi, Baru Murah Syariah di Baleendah Dekat Buah Batu, Kota Bandung Kidul Selatan Jual Dijual","Baleendah Dekat Buah Batu, Baleendah, Bandung, Jawa Barat",2 ,1 ,40 m²,356 jt
